STATION,ELEMENT,YEAR,MONTH,TIMEFUNCTION,MDFUNCTION,VALUE,FLAG_REPEAT,FLAG_INTERRUPTED,
0-20000-0-11723,SRA,1968,12,07:00,MAX,3.6,*,,
0-20000-0-11723,SRA,1968,12,07:00,SUM,11.7,,,
0-20000-0-11723,SRA,1969,01,07:00,MAX,8.4,,,
0-20000-0-11723,SRA,1969,01,07:00,SUM,30.5,,,
0-20000-0-11723,SRA,1969,02,07:00,MAX,5.2,,,
0-20000-0-11723,SRA,1969,02,07:00,SUM,26.8,,,
0-20000-0-11723,SRA,1969,03,07:00,MAX,13.6,,,
0-20000-0-11723,SRA,1969,03,07:00,SUM,34.2,,,
0-20000-0-11723,SRA,1969,04,07:00,MAX,2.3,,,
0-20000-0-11723,SRA,1969,04,07:00,SUM,4.8,,,
0-20000-0-11723,SRA,1969,05,07:00,MAX,24.4,,,
0-20000-0-11723,SRA,1969,05,07:00,SUM,89.4,,,
0-20000-0-11723,SRA,1969,06,07:00,MAX,23.9,,,
0-20000-0-11723,SRA,1969,06,07:00,SUM,91.4,,,
0-20000-0-11723,SRA,1969,07,07:00,MAX,7.1,,,
0-20000-0-11723,SRA,1969,07,07:00,SUM,25.6,,,
0-20000-0-11723,SRA,1969,08,07:00,MAX,16.9,,,
0-20000-0-11723,SRA,1969,08,07:00,SUM,83.9,,,
0-20000-0-11723,SRA,1969,09,07:00,MAX,4.6,,,
0-20000-0-11723,SRA,1969,09,07:00,SUM,7.1,,,
0-20000-0-11723,SRA,1969,10,07:00,MAX,3.3,,,
0-20000-0-11723,SRA,1969,10,07:00,SUM,6.0,,,
0-20000-0-11723,SRA,1969,11,07:00,MAX,18.5,,,
0-20000-0-11723,SRA,1969,11,07:00,SUM,47.8,,,
0-20000-0-11723,SRA,1969,12,07:00,MAX,4.1,,,
0-20000-0-11723,SRA,1969,12,07:00,SUM,20.4,,,
0-20000-0-11723,SRA,1970,01,07:00,MAX,3.6,,,
0-20000-0-11723,SRA,1970,01,07:00,SUM,12.6,,,
0-20000-0-11723,SRA,1970,02,07:00,MAX,13.9,,,
0-20000-0-11723,SRA,1970,02,07:00,SUM,64.9,,,
0-20000-0-11723,SRA,1970,03,07:00,MAX,11.1,,,
0-20000-0-11723,SRA,1970,03,07:00,SUM,37.2,,,
0-20000-0-11723,SRA,1970,04,07:00,MAX,13.7,,,
0-20000-0-11723,SRA,1970,04,07:00,SUM,38.8,,,
0-20000-0-11723,SRA,1970,05,07:00,MAX,1.5,,,
0-20000-0-11723,SRA,1970,05,07:00,SUM,5.9,,,
0-20000-0-11723,SRA,1970,06,07:00,MAX,82.1,,,
0-20000-0-11723,SRA,1970,06,07:00,SUM,165.5,,,
0-20000-0-11723,SRA,1970,07,07:00,MAX,26.5,,,
0-20000-0-11723,SRA,1970,07,07:00,SUM,101.8,,,
0-20000-0-11723,SRA,1970,08,07:00,MAX,48.3,,,
0-20000-0-11723,SRA,1970,08,07:00,SUM,115.7,,,
0-20000-0-11723,SRA,1970,09,07:00,MAX,4.7,*,,
0-20000-0-11723,SRA,1970,09,07:00,SUM,17.8,,,
0-20000-0-11723,SRA,1970,10,07:00,MAX,10.1,,,
0-20000-0-11723,SRA,1970,10,07:00,SUM,31.6,,,
0-20000-0-11723,SRA,1970,11,07:00,MAX,26.6,,,
0-20000-0-11723,SRA,1970,11,07:00,SUM,74.3,,,
0-20000-0-11723,SRA,1970,12,07:00,MAX,5.5,,,
0-20000-0-11723,SRA,1970,12,07:00,SUM,20.1,,,
0-20000-0-11723,SRA,1971,01,07:00,MAX,6.5,,,
0-20000-0-11723,SRA,1971,01,07:00,SUM,18.8,,,
0-20000-0-11723,SRA,1971,02,07:00,MAX,7.2,,,
0-20000-0-11723,SRA,1971,02,07:00,SUM,17.9,,,
0-20000-0-11723,SRA,1971,03,07:00,MAX,15.1,,,
0-20000-0-11723,SRA,1971,03,07:00,SUM,36.5,,,
0-20000-0-11723,SRA,1971,04,07:00,MAX,19.6,,,
0-20000-0-11723,SRA,1971,04,07:00,SUM,33.2,,,
0-20000-0-11723,SRA,1971,05,07:00,MAX,11.3,,,
0-20000-0-11723,SRA,1971,05,07:00,SUM,35.5,,,
0-20000-0-11723,SRA,1971,06,07:00,MAX,7.2,,,
0-20000-0-11723,SRA,1971,06,07:00,SUM,36.0,,,
0-20000-0-11723,SRA,1971,07,07:00,MAX,29.1,,,
0-20000-0-11723,SRA,1971,07,07:00,SUM,44.7,,,
0-20000-0-11723,SRA,1971,08,07:00,MAX,13.4,,,
0-20000-0-11723,SRA,1971,08,07:00,SUM,29.9,,,
0-20000-0-11723,SRA,1971,09,07:00,MAX,17.0,,,
0-20000-0-11723,SRA,1971,09,07:00,SUM,34.5,,,
0-20000-0-11723,SRA,1971,10,07:00,MAX,19.3,,,
0-20000-0-11723,SRA,1971,10,07:00,SUM,21.0,,,
0-20000-0-11723,SRA,1971,11,07:00,MAX,10.9,,,
0-20000-0-11723,SRA,1971,11,07:00,SUM,38.8,,,
0-20000-0-11723,SRA,1971,12,07:00,MAX,4.0,,,
0-20000-0-11723,SRA,1971,12,07:00,SUM,22.1,,,
0-20000-0-11723,SRA,1972,01,07:00,MAX,9.6,,,
0-20000-0-11723,SRA,1972,01,07:00,SUM,35.3,,,
0-20000-0-11723,SRA,1972,02,07:00,MAX,5.0,,,
0-20000-0-11723,SRA,1972,02,07:00,SUM,16.7,,,
0-20000-0-11723,SRA,1972,03,07:00,MAX,3.8,,,
0-20000-0-11723,SRA,1972,03,07:00,SUM,11.0,,,
0-20000-0-11723,SRA,1972,04,07:00,MAX,16.1,,,
0-20000-0-11723,SRA,1972,04,07:00,SUM,81.6,,,
0-20000-0-11723,SRA,1972,05,07:00,MAX,16.3,,,
0-20000-0-11723,SRA,1972,05,07:00,SUM,56.9,,,
0-20000-0-11723,SRA,1972,06,07:00,MAX,33.0,,,
0-20000-0-11723,SRA,1972,06,07:00,SUM,76.3,,,
0-20000-0-11723,SRA,1972,07,07:00,MAX,46.2,,,
0-20000-0-11723,SRA,1972,07,07:00,SUM,192.1,,,
0-20000-0-11723,SRA,1972,08,07:00,MAX,14.7,,,
0-20000-0-11723,SRA,1972,08,07:00,SUM,41.8,,,
0-20000-0-11723,SRA,1972,09,07:00,MAX,9.3,,,
0-20000-0-11723,SRA,1972,09,07:00,SUM,23.1,,,
0-20000-0-11723,SRA,1972,10,07:00,MAX,3.8,,,
0-20000-0-11723,SRA,1972,10,07:00,SUM,11.4,,,
0-20000-0-11723,SRA,1972,11,07:00,MAX,9.0,,,
0-20000-0-11723,SRA,1972,11,07:00,SUM,25.6,,,
0-20000-0-11723,SRA,1972,12,07:00,MAX,2.3,,,
0-20000-0-11723,SRA,1972,12,07:00,SUM,2.8,,,
0-20000-0-11723,SRA,1973,01,07:00,MAX,6.9,,,
0-20000-0-11723,SRA,1973,01,07:00,SUM,19.5,,,
0-20000-0-11723,SRA,1973,02,07:00,MAX,6.4,,,
0-20000-0-11723,SRA,1973,02,07:00,SUM,20.7,,,
0-20000-0-11723,SRA,1973,03,07:00,MAX,2.2,,,
0-20000-0-11723,SRA,1973,03,07:00,SUM,4.9,,,
0-20000-0-11723,SRA,1973,04,07:00,MAX,17.3,,,
0-20000-0-11723,SRA,1973,04,07:00,SUM,54.1,,,
0-20000-0-11723,SRA,1973,05,07:00,MAX,7.8,,,
0-20000-0-11723,SRA,1973,05,07:00,SUM,26.4,,,
0-20000-0-11723,SRA,1973,06,07:00,MAX,24.2,,,
0-20000-0-11723,SRA,1973,06,07:00,SUM,84.1,,,
0-20000-0-11723,SRA,1973,07,07:00,MAX,18.4,,,
0-20000-0-11723,SRA,1973,07,07:00,SUM,53.4,,,
0-20000-0-11723,SRA,1973,08,07:00,MAX,16.4,,,
0-20000-0-11723,SRA,1973,08,07:00,SUM,27.5,,,
0-20000-0-11723,SRA,1973,09,07:00,MAX,22.2,,,
0-20000-0-11723,SRA,1973,09,07:00,SUM,56.2,,,
0-20000-0-11723,SRA,1973,10,07:00,MAX,4.9,,,
0-20000-0-11723,SRA,1973,10,07:00,SUM,18.4,,,
0-20000-0-11723,SRA,1973,11,07:00,MAX,6.0,,,
0-20000-0-11723,SRA,1973,11,07:00,SUM,18.6,,,
0-20000-0-11723,SRA,1973,12,07:00,MAX,5.6,,,
0-20000-0-11723,SRA,1973,12,07:00,SUM,16.8,,,
0-20000-0-11723,SRA,1974,01,07:00,MAX,4.5,,,
0-20000-0-11723,SRA,1974,01,07:00,SUM,24.5,,,
0-20000-0-11723,SRA,1974,02,07:00,MAX,10.0,,,
0-20000-0-11723,SRA,1974,02,07:00,SUM,20.9,,,
0-20000-0-11723,SRA,1974,03,07:00,MAX,1.4,,,
0-20000-0-11723,SRA,1974,03,07:00,SUM,3.0,,,
0-20000-0-11723,SRA,1974,04,07:00,MAX,2.7,,,
0-20000-0-11723,SRA,1974,04,07:00,SUM,4.6,,,
0-20000-0-11723,SRA,1974,05,07:00,MAX,9.6,,,
0-20000-0-11723,SRA,1974,05,07:00,SUM,36.9,,,
0-20000-0-11723,SRA,1974,06,07:00,MAX,16.0,,,
0-20000-0-11723,SRA,1974,06,07:00,SUM,86.4,,,
0-20000-0-11723,SRA,1974,07,07:00,MAX,30.4,,,
0-20000-0-11723,SRA,1974,07,07:00,SUM,122.4,,,
0-20000-0-11723,SRA,1974,08,07:00,MAX,9.6,,,
0-20000-0-11723,SRA,1974,08,07:00,SUM,31.9,,,
0-20000-0-11723,SRA,1974,09,07:00,MAX,7.6,,,
0-20000-0-11723,SRA,1974,09,07:00,SUM,20.2,,,
